crossing time (s)	slope (V/s)	crossing number
4857.105483	-145.535034	864
4858.039333	-142.833724	865
4859.147365	-140.280753	866
4860.064157	-141.920928	867
4861.129923	-142.533415	868
4862.067311	-136.693000	869
4863.134599	-137.401123	870
4864.109448	-132.845344	871
4865.149373	-132.842532	872
4866.102733	-130.839005	873
4867.186535	-129.229378	874
4868.134694	-123.553542	875
4869.218593	-125.205342	876
4870.163971	-119.914578	877
4871.192703	-120.570072	878
4872.163900	-115.007055	879
4873.240127	-114.035441	880
4874.170976	-105.829416	881
4875.206938	-102.920274	882
4876.178774	-103.469898	883
4877.235540	-100.100484	884
4878.214489	-96.240664	885
4879.250902	-90.153700	886
4880.227310	-91.039902	887
4881.291841	-87.383603	888
4882.266129	-84.861915	889
4883.266829	-80.932512	890
4884.272444	-79.894010	891
4885.310871	-75.421498	892
4886.263216	-72.206189	893
4887.315683	-72.247462	894
4888.256415	-68.832794	895
4889.312560	-61.787044	896
4890.297957	-62.511487	897
4891.378091	-60.785686	898
4892.325083	-58.481494	899
4893.416876	-55.838721	900
4894.315249	-53.479129	901
4895.393913	-51.591692	902
4896.357292	-48.688920	903
4897.412176	-47.661867	904
4898.306394	-45.941190	905
4899.440894	-43.002820	906
4900.335472	-42.966945	907
4901.431102	-41.470837	908
4902.384276	-38.622204	909
4903.466121	-35.808242	910
4904.398962	-35.657323	911
4905.475150	-34.590711	912
4906.433392	-34.992685	913
4907.498890	-31.850244	914
4908.419285	-31.842072	915
4909.509797	-30.810449	916
4910.442737	-29.333676	917
4911.543722	-28.290082	918
4912.448987	-27.472697	919
4913.521824	-26.043845	920
4914.464200	-23.736888	921
4915.547314	-24.114171	922
4916.523439	-23.172913	923
4917.549207	-21.419986	924
4918.491063	-20.898527	925
4919.552994	-21.210708	926
4920.529114	-20.555494	927
4921.599631	-18.485683	928
4922.534886	-17.483850	929
4923.639920	-20.664129	930
4924.554335	-20.243837	931
4925.600183	-17.529517	932
4926.571852	-14.183542	933
4927.620647	-16.364153	934
4928.565322	-15.834189	935
4929.641760	-15.238915	936
4930.581585	-12.946469	937
4931.686689	-11.421435	938
4932.606712	-11.517692	939
4933.705235	-13.324883	940
4934.610317	-13.318691	941
4935.731934	-9.350553	942
4936.635340	-9.363544	943
4937.728816	-11.334678	944
4938.641339	-9.884913	945
4939.765861	-8.488134	946
4940.645009	-8.834269	947
4941.780354	-8.956912	948
4942.661918	-10.351326	949
4943.811123	-7.874510	950
4944.676391	-7.203864	951
