time (s)	det(V)
5150.885980	-0.013901	
5150.887508	0.006055	
5150.889214	-0.012854	
5150.890691	0.010917	
5150.892472	0.034612	
5150.893966	-0.005027	
5150.895742	-0.021197	
5150.897224	-0.016645	
5150.899007	0.012436	
5150.900486	-0.038140	
5150.902245	0.006402	
5150.903743	-0.031968	
5150.905510	0.028034	
5150.907025	-0.024242	
5150.908777	0.016448	
5150.910293	-0.052827	
5150.912023	0.002877	
5150.913553	-0.025019	
5150.915248	0.013326	
5150.916792	-0.091233	
5150.918487	0.016859	
5150.920039	-0.024471	
5150.921706	0.023465	
5150.923298	-0.073331	
5150.924987	0.021141	
5150.926555	-0.053423	
5150.928217	0.015264	
5150.929828	-0.055401	
5150.931463	0.005676	
5150.933095	-0.065879	
5150.934706	-0.013172	
5150.936364	-0.107000	
5150.937966	-0.005599	
5150.939603	-0.056150	
5150.941208	-0.006844	
5150.942850	-0.064219	
5150.944411	-0.017446	
5150.946114	-0.077126	
5150.947664	-0.012745	
5150.949375	-0.051610	
5150.950923	-0.027130	
5150.952638	-0.043179	
5150.954167	-0.013422	
5150.955913	-0.014461	
5150.957415	-0.018808	
5150.959198	-0.013587	
5150.960679	-0.022457	
5150.962453	-0.022522	
5150.963942	-0.002610	
5150.965706	-0.027904	
5150.967184	-0.061858	
5150.968967	0.011924	
5150.970450	-0.021527	
5150.972222	0.003465	
5150.973723	-0.026478	
5150.975462	0.016803	
5150.976978	-0.018937	
5150.978717	0.048594	
5150.980243	-0.025454	
5150.981968	0.038447	
5150.983504	-0.035791	
5150.985225	0.035333	
5150.986788	-0.062447	
5150.988489	0.062653	
5150.990047	-0.034003	
5150.991739	0.101566	
5150.993325	-0.038482	
5150.995011	0.075910	
5150.996599	-0.008217	
5150.998248	0.087262	
5150.999852	-0.020939	
5151.001515	0.058866	
5151.003108	0.033323	
5151.004739	0.082533	
5151.006356	0.053102	
5151.007959	0.087334	
5151.009623	0.068828	
5151.011211	0.071636	
5151.012892	0.011006	
5151.014470	0.091061	
5151.016126	0.044191	
5151.017701	0.081099	
5151.019398	0.036122	
5151.020947	0.080482	
5151.022670	0.020476	
5151.024209	0.103073	
5151.025927	0.093868	
5151.027424	0.076156	
5151.029182	0.052981	
5151.030669	0.050882	
5151.032451	0.083729	
5151.033943	0.065392	
5151.035737	0.083528	
5151.037214	0.055567	
5151.038982	0.115726	
5151.040456	0.086976	
5151.042205	0.108705	
5151.043706	0.054073	
5151.045450	0.133797	
5151.046968	0.057775	
5151.048718	0.149242	
5151.050246	0.057122	
5151.051955	0.134180	
5151.053491	0.062641	
5151.055198	0.167115	
5151.056740	0.080881	
5151.058437	0.162551	
5151.060001	0.089534	
5151.061677	0.181903	
5151.063261	0.030358	
5151.064903	0.198569	
5151.066499	0.087975	
5151.068136	0.208555	
5151.069750	0.139807	
5151.071396	0.220547	
5151.073034	0.150055	
5151.074637	0.222017	
5151.076310	0.215347	
5151.077893	0.230763	
5151.079580	0.217034	
5151.081170	0.265382	
5151.082829	0.214239	
5151.084421	0.276625	
5151.086118	0.277769	
5151.087662	0.301242	
5151.089357	0.273733	
5151.090897	0.314902	
5151.092601	0.319958	
5151.094110	0.359971	
5151.095837	0.355053	
5151.097322	0.372669	
5151.099084	0.394131	
5151.100575	0.411880	
5151.102366	0.433585	
5151.103839	0.451624	
5151.105603	0.472881	
5151.107094	0.461509	
5151.108850	0.548569	
5151.110344	0.516608	
5151.112085	0.598226	
5151.113615	0.548432	
5151.115352	0.631641	
5151.116873	0.576695	
5151.118580	0.698592	
5151.120125	0.651275	
5151.121813	0.756410	
5151.123369	0.745224	
5151.125052	0.813125	
5151.126623	0.751592	
5151.128279	0.889107	
5151.129879	0.794679	
5151.131533	0.944682	
5151.133139	0.866694	
5151.134776	0.987559	
5151.136382	0.939634	
5151.137998	1.078680	
5151.139668	1.032402	
5151.141245	1.133441	
5151.142916	1.116860	
5151.144391	1.162074	
5151.146095	1.189797	
5151.147671	1.252264	
5151.149369	1.237513	
5151.150923	1.293357	
5151.152639	1.351800	
5151.154177	1.384220	
5151.155905	1.445076	
5151.157395	1.480017	
5151.159162	1.514161	
5151.160646	1.567601	
5151.162417	1.627470	
5151.163912	1.614346	
5151.165714	1.677594	
5151.167187	1.673554	
5151.168974	1.680527	
5151.170455	1.680346	
5151.172207	1.680728	
5151.173710	1.680543	
5151.175449	1.680725	
5151.176955	1.680636	
5151.178691	1.680769	
5151.180224	1.680555	
5151.181958	1.680938	
5151.183499	1.680728	
5151.185207	1.680660	
5151.186746	1.680672	
5151.188444	1.681014	
5151.190009	1.680608	
5151.191685	1.681022	
5151.193266	1.680587	
5151.194925	1.680869	
5151.196512	1.680587	
5151.198163	1.680990	
5151.199772	1.680628	
5151.201424	1.680898	
5151.203059	1.680729	
5151.204676	1.681103	
5151.206323	1.680648	
5151.207918	1.680866	
5151.209606	1.680700	
5151.211200	1.680886	
5151.212857	1.680608	
5151.214448	1.680898	
5151.216147	1.680700	
5151.217710	1.681059	
5151.219417	1.680753	
5151.220961	1.680837	
5151.222657	1.680781	
5151.224216	1.680885	
5151.225947	1.680833	
5151.227486	1.680882	
5151.229241	1.680769	
5151.230751	1.680974	
5151.232512	1.680732	
5151.233991	1.680737	
5151.235700	1.680720	
5151.237183	1.680785	
5151.238878	1.680962	
5151.240369	1.680648	
5151.242035	1.680978	
5151.243564	1.680745	
5151.245186	1.680894	
5151.246750	1.680680	
5151.248361	1.680950	
5151.249937	1.680813	
5151.251513	1.680950	
5151.253123	1.680664	
5151.254657	1.680869	
5151.256337	1.680765	
5151.257809	1.680781	
5151.259523	1.680740	
5151.261001	1.680878	
5151.262736	1.680894	
5151.264207	1.680849	
5151.265917	1.680837	
5151.267405	1.680837	
5151.269093	1.680749	
5151.270575	1.680898	
5151.272298	1.681027	
5151.273794	1.680737	
5151.275478	1.681018	
5151.276972	1.680789	
5151.278626	1.680962	
5151.280150	1.680712	
5151.281789	1.680914	
5151.283350	1.680829	
5151.284953	1.681018	
5151.286554	1.680652	
5151.288107	1.680894	
5151.289722	1.680793	
5151.291232	1.680930	
5151.292919	1.680797	
5151.294393	1.680773	
5151.296122	1.680769	
5151.297597	1.680829	
5151.299283	1.680781	
5151.300764	1.680861	
5151.302474	1.680990	
5151.303968	1.680749	
5151.305695	1.680978	
5151.307187	1.680906	
5151.308882	1.680773	
5151.310373	1.680749	
5151.312046	1.681055	
5151.313559	1.680708	
5151.315193	1.680910	
5151.316756	1.680841	
5151.318357	1.680825	
5151.319950	1.680757	
5151.321516	1.680809	
5151.323114	1.680761	
5151.324654	1.680761	
5151.326319	1.680781	
5151.327800	1.680990	
5151.329494	1.680591	
5151.330971	1.680849	
5151.332688	1.680813	
5151.334172	1.680712	
5151.335898	1.680809	
5151.337386	1.680753	
5151.339082	1.680878	
5151.340563	1.680684	
5151.342270	1.680861	
5151.343749	1.680765	
5151.345436	1.680817	
5151.346948	1.680716	
5151.348599	1.681007	
5151.350150	1.680668	
5151.351760	1.680922	
5151.353342	1.680704	
5151.354924	1.680789	
5151.356518	1.680599	
5151.358080	1.680829	
5151.359701	1.680737	
5151.361217	1.680733	
5151.362905	1.680757	
5151.364391	1.680761	
5151.366098	1.680736	
5151.367583	1.680736	
5151.369303	1.680551	
5151.370786	1.680664	
5151.372509	1.680680	
5151.373989	1.680684	
5151.375697	1.680624	
5151.377174	1.680555	
5151.378867	1.680571	
5151.380359	1.680265	
5151.382033	1.679173	
5151.383560	1.585692	
5151.385189	1.408350	
5151.386744	1.222044	
5151.388350	1.097383	
5151.389920	0.842971	
5151.391495	0.757260	
5151.393102	0.516782	
5151.394649	0.387988	
5151.396295	0.140408	
5151.397775	0.007413	
5151.399481	-0.165306	
5151.400952	-0.371475	
5151.402665	-0.535512	
5151.404147	-0.723812	
5151.405861	-0.938663	
5151.407340	-1.091932	
5151.409049	-1.222603	
5151.410531	-1.428104	
5151.412223	-1.531261	
5151.413720	-1.572257	
5151.415387	-1.572289	
5151.416911	-1.572354	
5151.418567	-1.572168	
5151.420099	-1.572406	
5151.421718	-1.572410	
5151.423292	-1.572430	
5151.424892	-1.572152	
5151.426490	-1.572325	
5151.428046	-1.572426	
5151.429667	-1.572430	
5151.431145	-1.572394	
5151.432854	-1.572382	
5151.434328	-1.572305	
5151.436037	-1.572402	
5151.437508	-1.572535	
5151.439151	-1.572442	
5151.440635	-1.572426	
5151.442282	-1.572342	
5151.443805	-1.572491	
5151.445373	-1.572430	
5151.446919	-1.572519	
5151.448467	-1.572350	
5151.450061	-1.572398	
5151.451552	-1.572438	
5151.453215	-1.572450	
5151.454702	-1.572527	
5151.456349	-1.572362	
5151.457883	-1.572519	
5151.459503	-1.572434	
5151.460980	-1.572273	
5151.462620	-1.572362	
5151.464104	-1.572438	
5151.465728	-1.572402	
5151.467233	-1.572491	
5151.468837	-1.572346	
5151.470342	-1.572354	
5151.471932	-1.572326	
5151.473469	-1.572362	
5151.474978	-1.572499	
5151.476616	-1.572418	
5151.478112	-1.572414	
5151.479741	-1.572414	
5151.481270	-1.572301	
5151.482904	-1.572414	
5151.484401	-1.572491	
5151.486066	-1.572277	
5151.487533	-1.572378	
5151.489171	-1.572342	
5151.490650	-1.572366	
5151.492297	-1.572511	
5151.493773	-1.572527	
5151.495375	-1.572301	
5151.496908	-1.572511	
5151.498462	-1.572587	
5151.500052	-1.572559	
5151.501549	-1.572495	
5151.503206	-1.572499	
5151.504699	-1.572454	
5151.506323	-1.572535	
5151.507845	-1.572342	
5151.509486	-1.572386	
5151.510958	-1.572410	
5151.512603	-1.572487	
5151.514078	-1.572519	
5151.515717	-1.572466	
5151.517198	-1.572487	
5151.518831	-1.572414	
5151.520355	-1.572414	
5151.521924	-1.572454	
5151.523477	-1.572511	
5151.524979	-1.572301	
5151.526620	-1.572559	
5151.528109	-1.572386	
5151.529746	-1.572418	
5151.531266	-1.572346	
5151.532907	-1.572233	
5151.534387	-1.572511	
5151.536024	-1.572491	
5151.537502	-1.572503	
5151.539148	-1.572479	
5151.540651	-1.572575	
5151.542190	-1.572434	
5151.543708	-1.572418	
5151.545283	-1.572374	
5151.546831	-1.572527	
5151.548360	-1.572422	
5151.549974	-1.572426	
5151.551458	-1.572237	
5151.553092	-1.572265	
5151.554611	-1.572475	
5151.556188	-1.572426	
5151.557695	-1.572446	
5151.559258	-1.572511	
5151.560769	-1.572471	
5151.562315	-1.572527	
5151.563854	-1.572394	
5151.565343	-1.572406	
5151.566941	-1.572474	
5151.568437	-1.572491	
5151.570028	-1.572382	
5151.571521	-1.572370	
5151.573087	-1.572366	
5151.574601	-1.572579	
5151.576183	-1.572382	
5151.577678	-1.572543	
5151.579222	-1.572479	
5151.580755	-1.572450	
5151.582310	-1.572495	
5151.583854	-1.572350	
5151.585333	-1.572333	
5151.586924	-1.572386	
5151.588440	-1.572366	
5151.590047	-1.572418	
5151.591542	-1.572438	
5151.593110	-1.572378	
5151.594628	-1.572322	
5151.596214	-1.572342	
5151.597703	-1.572458	
