time (s)	magX	magY	magZ
5329.837346	2.993570	228.669205	69.031570
5329.840742	3.344244	225.571594	66.635300
5329.844013	2.935126	222.123322	63.829926
5329.847367	3.110462	219.434845	60.615429
5329.850662	2.876679	216.454117	57.985394
5329.854027	3.052017	213.707199	56.115139
5329.857373	2.759789	210.843369	53.660435
5329.860684	2.935126	207.921112	51.264179
5329.863999	2.526007	205.291077	49.803043
5329.867369	2.350671	203.128586	47.523674
5329.870696	2.233781	200.556976	45.478085
5329.874053	2.233781	198.102280	43.549389
5329.877351	2.701344	196.582703	42.497375
5329.880690	2.058444	194.361786	41.270023
5329.884077	1.883108	192.842194	39.458218
5329.887407	1.824663	190.796616	38.523087
5329.890706	1.473991	188.517258	37.938637
5329.894057	1.298656	186.705429	35.659267
5329.897381	1.415545	184.835190	34.957924
5329.900688	1.590881	183.081833	34.548805
5329.904435	1.064874	181.270020	33.613678
5329.908156	1.590881	180.334885	32.503220
5329.911487	1.766218	178.055527	31.860319
5329.914815	1.123319	177.061951	30.749857
5329.918154	2.058444	176.302170	30.165403
5329.921489	1.181765	174.139694	29.405615
5329.924812	1.707772	173.613678	27.593807
5329.928147	0.947983	172.269440	27.126245
5329.931483	1.532436	171.042084	26.308010
5329.934821	1.707772	170.399185	25.606667
5329.938152	1.649327	169.054932	25.080658
5329.941484	2.409117	167.535370	24.846878
5329.944815	1.999999	166.424911	23.210407
5329.948151	2.350671	165.548218	22.684399
5329.951496	2.526007	164.437759	22.216835
5329.954813	2.584453	163.385757	21.924610
5329.958144	2.350671	162.216827	21.398602
5329.961486	2.584453	161.106369	19.528351
5329.964810	2.876679	160.405029	19.586796
5329.968149	2.467562	159.294571	18.768560
5329.971514	2.818233	157.891876	18.067215
5329.974810	2.701344	157.190536	18.125662
5329.978145	2.701344	156.138519	17.015200
5329.981476	2.759789	155.787857	16.839863
5329.984817	2.759789	154.911179	15.437176
5329.988149	2.584453	154.443619	15.787848
5329.991476	2.584453	153.683823	14.794275
5329.994812	3.110462	153.216263	14.969612
5329.998144	3.052017	151.872009	14.209823
5330.001479	2.876679	151.813568	14.268269
5330.004808	2.759789	151.462891	13.274696
5330.008140	2.584453	151.346008	13.859150
5330.011479	3.227352	151.112228	14.034487
5330.014819	2.876679	150.819992	13.216251
5330.018144	2.818233	150.235535	13.391588
5330.021475	2.642898	149.943314	13.391588
5330.024809	2.642898	149.826416	13.333142
5330.028145	1.824663	150.177094	13.859150
5330.031477	2.058444	150.819992	13.859150
5330.034809	2.467562	150.644669	14.092932
5330.038142	2.233781	150.703094	14.326714
5330.041471	1.941554	150.936874	14.209823
5330.044802	1.824663	151.112228	14.209823
5330.048135	1.883108	151.696671	15.028057
5330.051473	2.058444	151.930450	15.028057
5330.054806	2.058444	152.047348	15.320285
5330.058147	1.707772	152.281128	16.313854
5330.061471	2.058444	152.865585	16.196964
5330.064808	1.883108	153.216263	16.255409
5330.068138	2.409117	153.976044	16.372301
5330.071477	2.759789	154.092926	17.599653
5330.074800	3.344244	154.794281	16.898308
5330.078142	3.168907	155.846298	17.424316
5330.081470	3.285797	155.554062	17.541208
5330.084799	2.935126	156.606079	17.482763
5330.088169	3.753361	157.248993	18.242552
5330.091469	3.519579	157.073639	17.950325
5330.094798	4.220922	158.417892	18.242552
5330.098132	4.454704	158.417892	19.177677
5330.101477	4.104033	159.060791	18.534779
5330.104800	4.513149	159.879013	18.885452
5330.108138	4.454704	160.697266	18.651669
5330.111466	4.513149	161.398605	19.177677
5330.114803	4.571596	162.099945	19.411459
5330.118131	4.630041	163.210403	20.171249
5330.121466	4.630041	163.561081	20.931038
5330.124801	4.571596	164.613098	21.164820
5330.128135	5.039158	165.022217	21.340157
5330.131475	4.922268	165.957352	22.333725
5330.134793	5.039158	167.710693	21.866163
5330.138131	4.922268	168.704269	23.970198
5330.141463	5.097603	169.873184	24.203979
5330.144804	4.922268	170.983643	25.197550
5330.148129	5.156048	172.795456	26.600237
5330.151465	5.156048	174.315018	27.067801
5330.154799	5.331385	175.893051	27.886036
5330.158129	5.156048	177.704865	29.990068
5330.161461	4.746931	179.282883	30.165403
5330.164798	4.805376	181.796021	31.158976
5330.168156	5.448275	183.315613	32.561665
5330.171460	5.331385	185.887207	34.782585
5330.174796	5.272940	187.465225	36.126831
5330.178128	5.682056	189.569260	37.997078
5330.181455	5.448275	191.848633	39.224434
5330.184795	5.506721	194.361786	40.919350
5330.188120	5.798948	196.874924	42.555820
5330.191458	6.091173	198.511398	43.900063
5330.194791	6.091173	201.375229	45.828758
5330.198129	5.915838	203.479263	48.400356
5330.201453	6.032728	205.232605	50.329052
5330.204789	6.734072	208.037979	51.497959
5330.208121	6.558737	210.668030	53.543545
5330.211471	6.850964	213.414963	55.063126
5330.214793	7.493864	215.811218	57.400940
5330.218179	7.493864	218.558151	59.972534
5330.221455	7.376972	221.129761	61.667446
5330.224787	8.019871	223.935135	63.070141
5330.228122	8.312098	226.857391	65.174171
5330.231884	8.954996	229.078323	68.096436
5330.234784	8.896551	231.883713	70.200470
5330.238542	9.890121	234.981308	73.239624
5330.241886	9.597895	237.026901	74.817657
5330.245212	9.714787	239.715378	78.149033
5330.248548	9.831676	242.579193	80.779083
5330.251908	9.714787	245.618362	83.701340
5330.255274	10.416130	248.949738	85.980713
5330.258566	11.000584	252.164230	89.545883
5330.261924	11.059029	255.495636	92.760376
5330.265218	10.942139	258.710083	96.325546
