crossing time (s)	slope (V/s)	crossing number
2831.588500	134.040031	2020
2832.613831	128.885236	2021
2833.601862	130.555657	2022
2834.638029	130.857964	2023
2835.632326	128.335568	2024
2836.658941	125.643115	2025
2837.636645	122.108710	2026
2838.654753	121.848816	2027
2839.673623	119.307979	2028
2840.700301	119.111590	2029
2841.655556	114.895807	2030
2842.675736	116.680796	2031
2843.693341	111.771255	2032
2844.699040	111.170324	2033
2845.707223	108.780362	2034
2846.757636	104.146062	2035
2847.714847	104.025428	2036
2848.758850	102.812496	2037
2849.774273	95.276732	2038
2850.711493	95.353402	2039
2851.765807	95.647047	2040
2852.774609	91.110699	2041
2853.792316	87.993155	2042
2854.778273	85.548545	2043
2855.776697	86.575667	2044
2856.839804	84.271034	2045
2857.814520	80.545294	2046
2858.824423	77.935046	2047
2859.845419	80.005105	2048
2860.869383	76.793658	2049
2861.875537	73.633366	2050
2862.883229	73.801823	2051
2863.895602	70.791810	2052
2864.881476	68.821339	2053
2865.897575	71.376982	2054
2866.907291	65.762653	2055
2867.916584	65.503288	2056
2868.939426	61.986527	2057
2869.904271	64.445129	2058
2870.933999	60.492917	2059
2871.956119	58.446412	2060
2872.979166	57.399850	2061
2873.961024	56.112768	2062
2875.002007	54.080025	2063
2875.989775	54.155570	2064
2877.033280	52.990278	2065
2878.013348	49.443406	2066
2879.014830	50.163461	2067
2880.031442	47.738022	2068
2881.067067	47.064563	2069
2882.039044	46.435111	2070
2883.076862	44.878478	2071
2884.080684	42.586776	2072
2885.060402	42.425238	2073
2886.109550	40.550298	2074
2887.093926	39.007642	2075
2888.109162	40.258826	2076
2889.131448	38.968274	2077
2890.137546	36.913449	2078
2891.131073	36.997580	2079
2892.136928	34.717104	2080
2893.172309	35.305468	2081
2894.155238	35.104050	2082
2895.175026	33.148948	2083
2896.166065	32.731468	2084
2897.207266	35.618063	2085
2898.193375	31.000179	2086
2899.213360	30.494834	2087
2900.219897	28.521163	2088
2901.243207	28.372312	2089
2902.240661	27.644713	2090
2903.249267	26.634590	2091
2904.242456	25.233150	2092
2905.272930	24.808154	2093
2906.237473	25.225081	2094
2907.292961	24.725665	2095
2908.287273	23.010176	2096
2909.284547	23.875699	2097
2910.311110	21.787947	2098
2911.319552	21.446561	2099
2912.321083	20.835375	2100
2913.342006	21.125484	2101
2914.321362	20.738834	2102
2915.340506	18.672205	2103
2916.339098	18.269220	2104
2917.389422	18.693903	2105
2918.353339	16.834763	2106
2919.409902	18.041856	2107
2920.353833	16.968517	2108
2921.413826	17.472633	2109
2922.399422	16.429862	2110
2923.436424	16.845720	2111
2924.434776	14.766875	2112
2925.432626	15.450566	2113
2926.466526	14.290394	2114
2927.470163	13.870691	2115
2928.453828	15.387224	2116
2929.478623	13.126233	2117
2930.452316	12.732361	2118
2931.504085	12.327781	2119
2932.510507	11.826785	2120
2933.514475	13.793445	2121
2934.522382	12.549568	2122
2935.523827	11.385531	2123
2936.541396	12.099666	2124
2937.529331	12.546959	2125
2938.554002	11.293611	2126
2939.579810	10.494331	2127
2940.559190	8.676083	2128
2941.575917	9.718027	2129
2942.579164	8.731641	2130
2943.613592	9.447923	2131
2944.596263	9.026500	2132
