time (s)	det(V)
741.238528	-1.522491	
741.240032	-1.522531	
741.241579	-1.522382	
741.243122	-1.522438	
741.244694	-1.522450	
741.246223	-1.522378	
741.247759	-1.522277	
741.249305	-1.522438	
741.250841	-1.522450	
741.252418	-1.522321	
741.253912	-1.522438	
741.255490	-1.522575	
741.257018	-1.522442	
741.258611	-1.522362	
741.260110	-1.522414	
741.261683	-1.522527	
741.263226	-1.522358	
741.264794	-1.522414	
741.266322	-1.522422	
741.267851	-1.522442	
741.269404	-1.522466	
741.270936	-1.522358	
741.272505	-1.522406	
741.274003	-1.522341	
741.275612	-1.522499	
741.277100	-1.522478	
741.278695	-1.522414	
741.280199	-1.522406	
741.281786	-1.522366	
741.283296	-1.522354	
741.284859	-1.522184	
741.286394	-1.521967	
741.287939	-1.512690	
741.289481	-1.436768	
741.291015	-1.348274	
741.292575	-1.261258	
741.294084	-1.208970	
741.295679	-1.123945	
741.297179	-1.028884	
741.298753	-0.976959	
741.300285	-0.888517	
741.301894	-0.784990	
741.303396	-0.693615	
741.304957	-0.632473	
741.306500	-0.565918	
741.308061	-0.442429	
741.309603	-0.371068	
741.311123	-0.306538	
741.312707	-0.223317	
741.314207	-0.123044	
741.315805	-0.050486	
741.317308	0.007832	
741.318874	0.141246	
741.320400	0.211452	
741.321983	0.339677	
741.323526	0.415236	
741.325097	0.519807	
741.326640	0.572679	
741.328161	0.674495	
741.329726	0.750352	
741.331255	0.853856	
741.332855	0.934604	
741.334348	1.029954	
741.335927	1.128080	
741.337459	1.198048	
741.339046	1.282993	
741.340554	1.350056	
741.342126	1.443489	
741.343663	1.498129	
741.345218	1.602185	
741.346766	1.685547	
741.348282	1.728457	
741.349868	1.730100	
741.351383	1.730422	
741.352952	1.730644	
741.354460	1.730507	
741.356055	1.730612	
741.357567	1.730600	
741.359168	1.730656	
741.360667	1.730717	
741.362236	1.730608	
741.363759	1.730595	
741.365323	1.730620	
741.366863	1.730620	
741.368383	1.730717	
741.369972	1.730733	
741.371487	1.730736	
741.373058	1.730676	
741.374563	1.730672	
741.376171	1.730632	
741.377669	1.730729	
741.379245	1.730713	
741.380776	1.730741	
741.382369	1.730656	
741.383865	1.730717	
741.385433	1.730600	
741.386976	1.730781	
741.388543	1.730873	
741.390245	1.730648	
741.391738	1.730922	
741.393508	1.730882	
741.394992	1.730934	
741.396787	1.730805	
741.398281	1.730874	
741.400065	1.730878	
741.401547	1.730817	
741.403343	1.730866	
741.404822	1.730672	
741.406580	1.730833	
741.408083	1.730757	
741.409847	1.731019	
741.411364	1.730708	
741.413121	1.730934	
741.414638	1.730741	
741.416376	1.731035	
741.417903	1.730632	
741.419611	1.730958	
741.421149	1.730745	
741.422860	1.731002	
741.424416	1.730600	
741.426110	1.731059	
741.427680	1.730672	
741.429354	1.731115	
741.430931	1.730620	
741.432584	1.730974	
741.434184	1.730757	
741.435827	1.731063	
741.437447	1.730785	
741.439072	1.731079	
741.440706	1.730652	
741.442328	1.730878	
741.443995	1.730624	
741.445609	1.730930	
741.447260	1.730680	
741.448834	1.730962	
741.450522	1.730716	
741.452096	1.730926	
741.453811	1.730785	
741.455391	1.730922	
741.457089	1.730668	
741.458647	1.730986	
741.460352	1.730781	
741.461903	1.730978	
741.463636	1.730914	
741.465160	1.730958	
741.466911	1.730769	
741.468416	1.730829	
741.470176	1.730942	
741.471666	1.730797	
741.473441	1.730902	
741.474919	1.730785	
741.476717	1.730813	
741.478202	1.730878	
741.479977	1.730829	
741.481461	1.730720	
741.483200	1.730930	
741.484710	1.730821	
741.486460	1.730861	
741.487980	1.730725	
741.489728	1.730785	
741.491252	1.730604	
741.492975	1.730994	
741.494500	1.730845	
741.496118	1.731051	
741.497695	1.730672	
741.499275	1.730898	
741.500894	1.730692	
741.502457	1.730821	
741.504071	1.730745	
741.505597	1.731047	
741.507298	1.730765	
741.508781	1.730801	
741.510485	1.730797	
741.511977	1.730736	
741.513701	1.730801	
741.515187	1.730833	
741.516915	1.730716	
741.518410	1.730777	
741.520115	1.730801	
741.521599	1.730757	
