time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
1193.972066	86.087578	0.966126	-0.097390	75
1195.990665	85.551277	0.862706	-0.073828	77
1197.996157	88.020287	0.709394	-0.076513	79
1200.053750	85.766632	0.594072	-0.066306	81
1202.078298	85.444183	0.517976	-0.048452	83
1204.067131	87.145058	0.432577	-0.043397	85
1206.083787	86.629089	0.356616	-0.037961	87
1208.109933	85.839340	0.298707	-0.030704	89
1210.141889	85.081726	0.252445	-0.025148	91
1212.138550	83.550308	0.212319	-0.021405	93
1214.163291	81.717567	0.172980	-0.018349	95
1216.205997	84.418083	0.133341	-0.011089	97
1218.331058	174.171097	0.019183	0.068516	99
