time (s)	magX	magY	magZ
2100.333759	-8.789597	171.062531	-32.834015
2100.337096	-8.614260	171.939209	-32.600235
2100.340420	-8.964933	170.770309	-31.782000
2100.344180	-9.140268	170.945633	-32.541786
2100.347808	-8.731152	171.120987	-32.308006
2100.351140	-9.140268	170.536514	-32.249557
2100.354472	-8.555815	170.711853	-32.424896
2100.357820	-8.789597	170.770309	-32.366455
2100.361140	-8.438925	171.062531	-33.184685
2100.364475	-8.263588	170.419632	-33.067795
2100.367808	-8.380479	171.004089	-33.126244
2100.371146	-7.912916	170.536514	-32.483345
2100.374470	-8.497370	170.711853	-32.600235
2100.377811	-8.088253	171.471649	-32.074226
2100.381145	-7.912916	171.120987	-32.775566
2100.384476	-7.737580	171.413193	-32.950905
2100.387821	-7.796026	171.413193	-32.834015
2100.391208	-7.386908	171.120987	-33.126244
2100.394480	-7.679135	171.939209	-33.827591
2100.397805	-7.737580	172.056107	-34.002922
2100.401139	-7.328463	172.640549	-32.892456
2100.404472	-7.036236	172.406769	-32.541786
2100.407806	-6.802454	173.341904	-33.360023
2100.411137	-6.744009	172.757446	-33.476913
2100.414465	-6.627119	173.283463	-33.009354
2100.417808	-6.802454	174.218582	-33.126244
2100.421135	-7.036236	174.043243	-34.002922
2100.424469	-7.386908	174.919937	-34.470490
2100.427805	-6.860900	175.095261	-34.996498
2100.431148	-7.094681	175.679718	-35.697838
2100.434468	-7.094681	176.497955	-35.464058
2100.437802	-6.919345	177.433075	-35.873177
2100.441131	-6.568673	177.725311	-36.691406
2100.444467	-7.094681	178.894211	-36.516075
2100.447794	-6.860900	179.186432	-36.340736
2100.451134	-7.211572	180.822906	-37.217415
2100.454462	-6.860900	181.933365	-37.684982
2100.457798	-7.094681	182.926941	-39.438339
2100.461144	-7.094681	184.271179	-39.847458
2100.464474	-7.445354	185.264755	-40.081238
2100.467830	-7.796026	186.433670	-41.074806
2100.471132	-7.737580	187.602570	-42.302162
2100.474897	-7.562244	188.713028	-43.003502
2100.478229	-7.503798	190.466385	-44.113968
2100.481558	-8.322034	191.927521	-45.224426
2100.484882	-7.912916	193.797775	-46.860901
2100.488217	-7.562244	194.674454	-47.036240
2100.491570	-7.796026	196.369370	-49.023376
2100.494890	-7.912916	197.947403	-50.075394
2100.498246	-8.205143	199.233185	-51.068970
2100.501599	-7.620690	200.577423	-52.120987
2100.504902	-7.620690	202.915237	-54.341904
2100.508222	-7.737580	204.610153	-54.926361
2100.511586	-7.737580	206.538864	-57.030396
